#Gjølja, 134.1.0, Vannstand, dogn
Tidspunkt;Vannstand (m);Korrigert;Kontrollert
1950-07-10 11:00:00Z;-0,1;0;3
1950-07-11 11:00:00Z;-0,14;2;3
1950-07-12 11:00:00Z;-0,18;2;3
1950-07-13 11:00:00Z;-0,22;2;3
1950-07-14 11:00:00Z;-0,26;1;3
1950-07-15 11:00:00Z;-0,31;2;3
1950-07-16 11:00:00Z;-0,36;2;3
1950-07-17 11:00:00Z;-0,41;2;3
1950-07-18 11:00:00Z;-0,46;2;3
1950-07-19 11:00:00Z;-0,51;2;3
1950-07-20 11:00:00Z;-0,56;1;3
1950-07-21 11:00:00Z;-0,59;2;3
1950-07-22 11:00:00Z;-0,63;2;3
1950-07-23 11:00:00Z;-0,66;2;3
1950-07-24 11:00:00Z;-0,69;2;3
1950-07-25 11:00:00Z;-0,72;2;3
1950-07-26 11:00:00Z;-0,76;2;3
1950-07-27 11:00:00Z;-0,79;2;3
1950-07-28 11:00:00Z;-0,82;2;3
1950-07-29 11:00:00Z;-0,85;2;3
1950-07-30 11:00:00Z;-0,89;2;3
1950-07-31 11:00:00Z;-0,92;1;3
1950-08-01 11:00:00Z;-0,97;2;3
1950-08-02 11:00:00Z;-1,03;2;3
1950-08-03 11:00:00Z;-1,08;2;3
1950-08-04 11:00:00Z;-1,13;2;3
1950-08-05 11:00:00Z;-1,19;2;3
1950-08-06 11:00:00Z;-1,24;2;3
1950-08-07 11:00:00Z;-1,29;2;3
1950-08-08 11:00:00Z;-1,34;2;3
1950-08-09 11:00:00Z;-1,4;2;3
1950-08-10 11:00:00Z;-1,45;0;3
1950-08-11 11:00:00Z;-1,46;2;3
1950-08-12 11:00:00Z;-1,48;2;3
1950-08-13 11:00:00Z;-1,49;2;3
1950-08-14 11:00:00Z;-1,51;2;3
1950-08-15 11:00:00Z;-1,52;2;3
1950-08-16 11:00:00Z;-1,54;2;3
1950-08-17 11:00:00Z;-1,55;0;3
1950-08-18 11:00:00Z;-1,57;2;3
1950-08-19 11:00:00Z;-1,6;2;3
1950-08-20 11:00:00Z;-1,62;0;3
1950-08-21 11:00:00Z;-1,68;2;3
1950-08-22 11:00:00Z;-1,74;2;3
1950-08-23 11:00:00Z;-1,8;2;3
1950-08-24 11:00:00Z;-1,86;2;3
1950-08-25 11:00:00Z;-1,92;0;3
1950-08-26 11:00:00Z;-1,97;2;3
1950-08-27 11:00:00Z;-2,02;2;3
1950-08-28 11:00:00Z;-2,08;2;3
1950-08-29 11:00:00Z;-2,13;2;3
1950-08-30 11:00:00Z;-2,18;2;3
1950-08-31 11:00:00Z;-2,23;0;3
1950-09-01 11:00:00Z;-2,26;2;3
1950-09-02 11:00:00Z;-2,3;2;3
1950-09-03 11:00:00Z;-2,33;2;3
1950-09-04 11:00:00Z;-2,36;2;3
1950-09-05 11:00:00Z;-2,39;2;3
1950-09-06 11:00:00Z;-2,43;2;3
1950-09-07 11:00:00Z;-2,46;2;3
1950-09-08 11:00:00Z;-2,49;2;3
1950-09-09 11:00:00Z;-2,53;2;3
1950-09-10 11:00:00Z;-2,56;0;3
1950-09-11 11:00:00Z;-2,54;2;3
1950-09-12 11:00:00Z;-2,53;2;3
1950-09-13 11:00:00Z;-2,51;2;3
1950-09-14 11:00:00Z;-2,5;2;3
1950-09-15 11:00:00Z;-2,48;0;3
1950-09-16 11:00:00Z;-2,46;2;3
1950-09-17 11:00:00Z;-2,45;2;3
1950-09-18 11:00:00Z;-2,43;2;3
1950-09-19 11:00:00Z;-2,42;2;3
1950-09-20 11:00:00Z;-2,4;0;3
1950-09-21 11:00:00Z;-2,41;2;3
1950-09-22 11:00:00Z;-2,42;2;3
1950-09-23 11:00:00Z;-2,44;2;3
1950-09-24 11:00:00Z;-2,45;2;3
1950-09-25 11:00:00Z;-2,46;0;3
1950-09-26 11:00:00Z;-2,27;2;3
1950-09-27 11:00:00Z;-2,08;2;3
1950-09-28 11:00:00Z;-1,89;2;3
1950-09-29 11:00:00Z;-1,7;2;3
1950-09-30 11:00:00Z;-1,51;0;3
1950-10-01 11:00:00Z;-1,5;2;3
1950-10-02 11:00:00Z;-1,49;2;3
1950-10-03 11:00:00Z;-1,47;2;3
1950-10-04 11:00:00Z;-1,46;2;3
1950-10-05 11:00:00Z;-1,45;2;3
1950-10-06 11:00:00Z;-1,44;2;3
1950-10-07 11:00:00Z;-1,43;2;3
1950-10-08 11:00:00Z;-1,41;2;3
1950-10-09 11:00:00Z;-1,4;2;3
1950-10-10 11:00:00Z;-1,39;0;3
1950-10-11 11:00:00Z;-1,36;2;3
1950-10-12 11:00:00Z;-1,34;2;3
1950-10-13 11:00:00Z;-1,31;2;3
1950-10-14 11:00:00Z;-1,28;2;3
1950-10-15 11:00:00Z;-1,26;2;3
